gene_description,snr_score,favors_class
FAH Fumarylacetoacetate,-1.4676411648891123,AML
Leukotriene C4 synthase (LTC4S) gene,-1.4217083082738604,AML
Zyxin,-1.4057703637253105,AML
C-myb gene extracted from Human (c-myb) gene; complete primary cds; and five complete alternatively spliced cds,1.3393078806073437,ALL
LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog,-1.202917275737727,AML
CD33 CD33 antigen (differentiation antigen),-1.1959743396637028,AML
DF D component of complement (adipsin),-1.1910386094842111,AML
GB DEF = Homeodomain protein HoxA9 mRNA,-1.1641602415073262,AML
Liver mRNA for interferon-gamma inducing factor(IGIF),-1.1397895161208105,AML
PROTEASOME IOTA CHAIN,1.1246367803969082,ALL
CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),-1.1091898032097356,AML
PRG1 Proteoglycan 1; secretory granule,-1.1059750494006466,AML
MB-1 gene,1.1031787333172172,ALL
Thrombospondin-p50 gene extracted from Human thrombospondin-1 gene; partial cds,-1.0697309047963595,AML
Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA,-1.064078048697605,AML
CCND3 Cyclin D3,1.0430557216363487,ALL
INTERLEUKIN-8 PRECURSOR,-1.040984651552847,AML
INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1,-1.0347837396729944,AML
RETINOBLASTOMA BINDING PROTEIN P48,1.0277175445747186,ALL
PEPTIDYL-PROLYL CIS-TRANS ISOMERASE; MITOCHONDRIAL PRECURSOR,-1.0277108292779755,AML
CRYZ Crystallin zeta (quinone reductase),1.0237361888579986,ALL
ATP6C Vacuolar H+ ATPase proton channel subunit,-1.0228515638360287,AML
MYL1 Myosin light chain (alkali),1.0227678434683594,ALL
Thymopoietin beta mRNA,1.0142753689307085,ALL
CDC25A Cell division cycle 25A,-1.008192759600639,AML
Azurocidin gene,-1.0053719471737361,AML
Interleukin 8 (IL8) gene,-1.0009166036762023,AML
Transcriptional activator hSNF2b,0.9890978706965874,ALL
CTSD Cathepsin D (lysosomal aspartyl protease),-0.9836280107767045,AML
FTL Ferritin; light polypeptide,-0.9739521930710312,AML
LGALS3 Lectin; galactoside-binding; soluble; 3 (galectin 3) (NOTE: redefinition of symbol),-0.9712892098046125,AML
Cytoplasmic dynein light chain 1 (hdlc1) mRNA,0.9548748722813014,ALL
ITGAX Integrin; alpha X (antigen CD11C (p150); alpha polypeptide),-0.9530658297719871,AML
Inducible protein mRNA,0.9504079068370395,ALL
CD19 CD19 antigen,0.9494711680166913,ALL
Epb72 gene exon 1,-0.9461132442031711,AML
TOP2B Topoisomerase (DNA) II beta (180kD),0.9451997850190245,ALL
CTPS CTP synthetase,0.933184038190233,ALL
IRF2 Interferon regulatory factor 2,0.9307637715367992,ALL
Catalase (EC 1.11.1.6) 5'flank and exon 1 mapping to chromosome 11; band p13 (and joined CDS),-0.9304988475325929,AML
Clone 22 mRNA; alternative splice variant alpha-1,0.9246248483889273,ALL
Neuromedin B mRNA,-0.9242411016584665,AML
MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3,-0.9225093117247917,AML
HKR-T1,0.9215711312403781,ALL
Lysozyme gene (EC 3.2.1.17),-0.9149540975356606,AML
ACADM Acyl-Coenzyme A dehydrogenase; C-4 to C-12 straight chain,0.9135207981108773,ALL
PFC Properdin P factor; complement,-0.9114713019538888,AML
HOX 2.2 gene extracted from Human Hox2.2 gene for a homeobox protein,-0.9034583622546195,AML
MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,0.9029464504760121,ALL
GTF2E2 General transcription factor TFIIE beta subunit; 34 kD,0.9015700151145646,ALL
